frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
218,0.3997,,model,0.4055,1.0000,
219,0.3986,,flow,0.1943,0.9961,
220,0.3968,,flow,0.1940,0.9722,
221,0.3968,,flow,0.1939,0.9634,
222,0.3980,,flow,0.1940,0.9623,
223,0.3949,,flow,0.1939,0.9628,
224,0.3974,,flow,0.1945,0.9635,
225,0.4076,,flow,0.1951,0.9640,
226,0.4085,,flow,0.1954,0.9591,
227,0.4089,,flow,0.1954,0.9578,
228,0.3953,,flow,0.1953,0.9577,
229,0.4091,,flow,0.1953,0.9566,
230,0.4043,,flow,0.1948,0.9541,
231,0.4038,,flow,0.1950,0.9543,
232,0.4057,,flow,0.1953,0.9532,
233,0.4035,,flow,0.1948,0.9528,
234,0.4074,,flow,0.1953,0.9524,
235,0.3972,,flow,0.1954,0.9522,
236,0.3947,,model,0.3956,1.0000,
237,0.4041,,flow,0.1948,0.9990,
238,0.4049,,flow,0.1948,0.9953,
239,0.3972,,flow,0.1954,0.9921,
240,0.3957,,flow,0.1953,0.9891,
241,0.4078,,flow,0.2030,0.9883,
242,0.3958,,flow,0.2032,0.9842,
243,0.4074,,flow,0.2031,0.9820,
244,0.3968,,flow,0.2031,0.9799,
245,0.4065,,flow,0.2037,0.9790,
246,0.3952,,flow,0.2036,0.9776,
247,0.3987,,flow,0.2030,0.9775,
248,0.4059,,flow,0.2032,0.9756,
249,0.3975,,flow,0.2032,0.9741,
250,0.3974,,flow,0.2033,0.9724,
251,0.4069,,flow,0.2037,0.9687,
252,0.3985,,flow,0.2036,0.9656,
253,0.4081,,flow,0.2031,0.9648,
254,0.3952,,flow,0.2035,0.9615,
255,0.3977,,flow,0.2036,0.9599,
256,0.4071,,flow,0.2036,0.9581,
257,0.4062,,flow,0.1943,0.9571,
258,0.4086,,flow,0.1943,0.9547,
259,0.4003,,flow,0.1944,0.9541,
260,0.4062,,flow,0.1939,0.9514,
261,0.3949,,flow,0.1944,0.9505,
262,0.4031,,model,0.4063,1.0000,
263,0.4085,,flow,0.1944,0.9981,
264,0.4044,,flow,0.1945,0.9924,
265,0.3976,,flow,0.1944,0.9910,
266,0.4086,,flow,0.1945,0.9853,
267,0.4069,,flow,0.1939,0.9844,
268,0.3983,,flow,0.1946,0.9793,
269,0.4151,,flow,0.1943,0.9783,
270,0.4070,,flow,0.1941,0.9764,
271,0.4182,,flow,0.1951,0.9755,
272,0.4063,,flow,0.1947,0.9738,
273,0.4073,,flow,0.1993,0.9730,
274,0.4082,,flow,0.1994,0.9699,
275,0.4092,,flow,0.1989,0.9685,
276,0.3968,,flow,0.1989,0.9647,
277,0.4115,,flow,0.1994,0.9639,
278,0.4108,,flow,0.1990,0.9613,
279,0.4061,,flow,0.1994,0.9607,
280,0.3995,,flow,0.1994,0.9584,
281,0.4073,,flow,0.1993,0.9577,
282,0.4073,,flow,0.1995,0.9558,
283,0.3990,,flow,0.1990,0.9534,
284,0.4068,,model,0.4086,1.0000,
285,0.4070,,flow,0.1989,0.9989,
286,0.4079,,flow,0.1991,0.9969,
287,0.3995,,flow,0.1994,0.9915,
288,0.3995,,flow,0.1989,0.9882,
289,0.3982,,flow,0.2083,0.9847,
290,0.3978,,flow,0.2072,0.9796,
291,0.3995,,flow,0.2073,0.9797,
292,0.3964,,flow,0.2072,0.9790,
293,0.3967,,flow,0.2072,0.9790,
294,0.4040,,flow,0.2078,0.9773,
295,0.4081,,flow,0.2072,0.9764,
296,0.3974,,flow,0.2072,0.9711,
297,0.4090,,flow,0.2071,0.9697,
298,0.4101,,flow,0.2076,0.9596,
299,0.4085,,flow,0.2076,0.9538,
300,0.3955,0.8284,flow,0.2072,0.9511,0.8307
301,0.4064,,flow,0.2071,0.9500,
302,0.3995,,model,0.3934,1.0000,
303,0.4007,,flow,0.2076,0.9904,
